source,product_key,observed_id,color_code,category_path,category_url,evidence_url,evidence_type
musinsa,5897661,5897661,,상의 > 셔츠 > 블라우스,,https://goods-detail.musinsa.com/api2/goods/5897661,restored_survey
musinsa,6715231,6715231,,상의 > 반소매 티셔츠,,https://goods-detail.musinsa.com/api2/goods/6715231,restored_survey
musinsa,6786576,6786576,,상의 > 기타 상의,,https://goods-detail.musinsa.com/api2/goods/6786576,restored_survey
musinsa,5310167,5310167,,상의 > 셔츠 > 블라우스,,https://goods-detail.musinsa.com/api2/goods/5310167,restored_survey
musinsa,6656596,6656596,,상의 > 긴소매 티셔츠,,https://goods-detail.musinsa.com/api2/goods/6656596,restored_survey
musinsa,6609390,6609390,,상의 > 반소매 티셔츠,,https://goods-detail.musinsa.com/api2/goods/6609390,restored_survey
musinsa,6706361,6706361,,상의 > 반소매 티셔츠,,https://goods-detail.musinsa.com/api2/goods/6706361,restored_survey
musinsa,6305662,6305662,,상의 > 셔츠 > 블라우스,,https://goods-detail.musinsa.com/api2/goods/6305662,restored_survey
musinsa,6768741,6768741,,상의 > 반소매 티셔츠,,https://goods-detail.musinsa.com/api2/goods/6768741,restored_survey
musinsa,6200629,6200629,,상의 > 반소매 티셔츠,,https://goods-detail.musinsa.com/api2/goods/6200629,restored_survey
musinsa,4513309,4513309,,아우터 > 후드 집업,,https://goods-detail.musinsa.com/api2/goods/4513309,restored_survey
musinsa,6499914,6499914,,아우터 > 카디건,,https://goods-detail.musinsa.com/api2/goods/6499914,restored_survey
musinsa,4336062,4336062,,아우터 > 트레이닝 재킷,,https://goods-detail.musinsa.com/api2/goods/4336062,restored_survey
musinsa,4652853,4652853,,아우터 > 나일론 > 코치 재킷,,https://goods-detail.musinsa.com/api2/goods/4652853,restored_survey
musinsa,4719977,4719977,,아우터 > 나일론 > 코치 재킷,,https://goods-detail.musinsa.com/api2/goods/4719977,restored_survey
musinsa,6319969,6319969,,아우터 > 카디건,,https://goods-detail.musinsa.com/api2/goods/6319969,restored_survey
musinsa,6695701,6695701,,아우터 > 후드 집업,,https://goods-detail.musinsa.com/api2/goods/6695701,restored_survey
musinsa,5104486,5104486,,아우터 > 카디건,,https://goods-detail.musinsa.com/api2/goods/5104486,restored_survey
musinsa,6273570,6273570,,아우터 > 카디건,,https://goods-detail.musinsa.com/api2/goods/6273570,restored_survey
musinsa,6005543,6005543,,아우터 > 나일론 > 코치 재킷,,https://goods-detail.musinsa.com/api2/goods/6005543,restored_survey
musinsa,2398609,2398609,,아우터 > 슈트 > 블레이저 재킷,,https://goods-detail.musinsa.com/api2/goods/2398609,restored_survey
musinsa,6127744,6127744,,아우터 > 카디건,,https://goods-detail.musinsa.com/api2/goods/6127744,restored_survey
musinsa,6401861,6401861,,아우터 > 카디건,,https://goods-detail.musinsa.com/api2/goods/6401861,restored_survey
musinsa,5980112,5980112,,아우터 > 카디건,,https://goods-detail.musinsa.com/api2/goods/5980112,restored_survey
musinsa,6480709,6480709,,아우터 > 나일론 > 코치 재킷,,https://goods-detail.musinsa.com/api2/goods/6480709,restored_survey
musinsa,6026203,6026203,,아우터 > 슈트 > 블레이저 재킷,,https://goods-detail.musinsa.com/api2/goods/6026203,restored_survey
musinsa,4821229,4821229,,아우터 > 기타 아우터,,https://goods-detail.musinsa.com/api2/goods/4821229,restored_survey
musinsa,6041618,6041618,,아우터 > 나일론 > 코치 재킷,,https://goods-detail.musinsa.com/api2/goods/6041618,restored_survey
musinsa,6284785,6284785,,아우터 > 기타 아우터,,https://goods-detail.musinsa.com/api2/goods/6284785,restored_survey
musinsa,2444810,2444810,,아우터 > 슈트 > 블레이저 재킷,,https://goods-detail.musinsa.com/api2/goods/2444810,restored_survey
musinsa,6721671,6721671,,아우터 > 후드 집업,,https://goods-detail.musinsa.com/api2/goods/6721671,restored_survey
musinsa,5992470,5992470,,아우터 > 나일론 > 코치 재킷,,https://goods-detail.musinsa.com/api2/goods/5992470,restored_survey
