source,product_key,product_name,audience,category_path,depth1_name,depth1_code,depth2_name,depth2_code,depth3_name,depth3_code,depth4_name,depth4_code,evidence_url
musinsa,6534177,Ohai Pirnt Muscle Navy,남성,상의 > 민소매 티셔츠,상의,001,민소매 티셔츠,001011,,,,,https://goods-detail.musinsa.com/api2/goods/6534177
musinsa,6778749,PPG HEART CHERRY TEE CHARCOAL,여성,상의 > 반소매 티셔츠,상의,001,반소매 티셔츠,001001,,,,,https://goods-detail.musinsa.com/api2/goods/6778749
musinsa,4059353,LOT.052 프리덤 티셔츠 티크 브라운,남성,상의 > 반소매 티셔츠,상의,001,반소매 티셔츠,001001,,,,,https://goods-detail.musinsa.com/api2/goods/4059353
musinsa,6666875,레이어드 셔링 반팔티 (RE)_SPRWG37G30,여성,상의 > 반소매 티셔츠,상의,001,반소매 티셔츠,001001,,,,,https://goods-detail.musinsa.com/api2/goods/6666875
musinsa,6761404,도트 듀얼스타 레귤러 반팔 티셔츠_7colors,여성,상의 > 반소매 티셔츠,상의,001,반소매 티셔츠,001001,,,,,https://goods-detail.musinsa.com/api2/goods/6761404
musinsa,6789405,26/27 Mascompany United Jersey,남성,상의 > 반소매 티셔츠,상의,001,반소매 티셔츠,001001,,,,,https://goods-detail.musinsa.com/api2/goods/6789405
musinsa,6656593,[Pokémon] 심볼 서클 롱 슬리브 [블랙],남성,상의 > 긴소매 티셔츠,상의,001,긴소매 티셔츠,001010,,,,,https://goods-detail.musinsa.com/api2/goods/6656593
musinsa,6689485,Deep V long sleeve t-shirt_4colors,여성,상의 > 긴소매 티셔츠,상의,001,긴소매 티셔츠,001010,,,,,https://goods-detail.musinsa.com/api2/goods/6689485
musinsa,6737107,SKETCH STAR T-SHIRTS (White),여성,상의 > 반소매 티셔츠,상의,001,반소매 티셔츠,001001,,,,,https://goods-detail.musinsa.com/api2/goods/6737107
musinsa,6590780,워셔블 헨리넥 반팔 니트 - 4color,남성,상의 > 니트 > 스웨터,상의,001,니트/스웨터,001006,,,,,https://goods-detail.musinsa.com/api2/goods/6590780
musinsa,6709673,Flight 666 원 오프 숄더 보트넥 반팔 티셔츠 (민트),여성,상의 > 반소매 티셔츠,상의,001,반소매 티셔츠,001001,,,,,https://goods-detail.musinsa.com/api2/goods/6709673
musinsa,6745094,NBNEG35613 / UNI FROZEN 픽토그램 반팔티 (NAVY),남성,스포츠 > 레저 > 상의 > 반소매 티셔츠,스포츠/레저,017,상의,017016,반소매 티셔츠,017016005,,,https://goods-detail.musinsa.com/api2/goods/6745094
musinsa,6385445,셔링체크카라셔츠_P6BSH003M,여성,상의 > 셔츠 > 블라우스,상의,001,셔츠/블라우스,001002,,,,,https://goods-detail.musinsa.com/api2/goods/6385445
musinsa,6408788,스냅 헨리넥 티셔츠 [KHAKI] / GF2LTS528,여성,상의 > 반소매 티셔츠,상의,001,반소매 티셔츠,001001,,,,,https://goods-detail.musinsa.com/api2/goods/6408788
musinsa,6774915,UNIVERSAL WASHED OVERSIZED TEE_CHARCOAL BLACK [LC262TS86CB],여성,상의 > 반소매 티셔츠,상의,001,반소매 티셔츠,001001,,,,,https://goods-detail.musinsa.com/api2/goods/6774915
