source,product_key,observed_id,color_code,category_path,category_url,queue_audience,actual_audience,accepted_for_audience_quota,evidence_url,evidence_type
uniqlo,E454063,E454063-000,000,이너웨어 > 에어리즘 > 에어리즘 코튼 블렌드,https://www.uniqlo.com/kr/ko/kids/innerwear,KIDS,KIDS,True,https://www.uniqlo.com/kr/ko/products/E454063-000/00,live_public_response
uniqlo,E454063,E454063-000,000,이너웨어 > 에어리즘 > 에어리즘 코튼 블렌드,https://www.uniqlo.com/kr/ko/kids/innerwear/airism,KIDS,KIDS,True,https://www.uniqlo.com/kr/ko/products/E454063-000/00,live_public_response
uniqlo,E454063,E454063-000,000,이너웨어 > 에어리즘 > 에어리즘 코튼 블렌드,https://www.uniqlo.com/kr/ko/kids/sport-utility-wear,KIDS,KIDS,True,https://www.uniqlo.com/kr/ko/products/E454063-000/00,live_public_response
uniqlo,E454063,E454063-000,000,이너웨어 > 에어리즘 > 에어리즘 코튼 블렌드,https://www.uniqlo.com/kr/ko/kids/sport-utility-wear/innerwear,KIDS,KIDS,True,https://www.uniqlo.com/kr/ko/products/E454063-000/00,live_public_response
uniqlo,E444812,E444812-000,000,신생아(0개월~2세) > 바디수트 > 코튼메쉬,https://www.uniqlo.com/kr/ko/baby/newborn,BABY,BABY,True,https://www.uniqlo.com/kr/ko/products/E444812-000/00,live_public_response
uniqlo,E444812,E444812-000,000,신생아(0개월~2세) > 바디수트 > 코튼메쉬,https://www.uniqlo.com/kr/ko/baby/newborn/bodysuits,BABY,BABY,True,https://www.uniqlo.com/kr/ko/products/E444812-000/00,live_public_response
uniqlo,E439661,E439661-000,000,이너웨어 > 언더웨어 > 코튼 트렁크,https://www.uniqlo.com/kr/ko/men/innerwear/underwear,MEN,MEN,True,https://www.uniqlo.com/kr/ko/products/E439661-000/00,live_public_response
uniqlo,E450259,E450259-000,000,셔츠 > 캐주얼셔츠 > 옥스포드,https://www.uniqlo.com/kr/ko/men/shirts-and-polo-shirts/casual-shirts,MEN,MEN,True,https://www.uniqlo.com/kr/ko/products/E450259-000/00,live_public_response
uniqlo,E450259,E450259-000,000,셔츠 > 캐주얼셔츠 > 옥스포드,https://www.uniqlo.com/kr/ko/women/shirts-and-blouses/shirts-and-blouses,WOMEN,MEN,True,https://www.uniqlo.com/kr/ko/products/E450259-000/00,live_public_response
uniqlo,E458788,E458788-000,000,이너웨어 > 레깅스 & 타이즈 > HEATTECH,https://www.uniqlo.com/kr/ko/kids/innerwear,KIDS,KIDS,True,https://www.uniqlo.com/kr/ko/products/E458788-000/00,live_public_response
uniqlo,E458788,E458788-000,000,이너웨어 > 레깅스 & 타이즈 > HEATTECH,https://www.uniqlo.com/kr/ko/kids/innerwear/heattech,KIDS,KIDS,True,https://www.uniqlo.com/kr/ko/products/E458788-000/00,live_public_response
uniqlo,E458788,E458788-000,000,이너웨어 > 레깅스 & 타이즈 > HEATTECH,https://www.uniqlo.com/kr/ko/kids/innerwear/leggings-and-tights,KIDS,KIDS,True,https://www.uniqlo.com/kr/ko/products/E458788-000/00,live_public_response
uniqlo,E450071,E450071-000,000,신생아(0개월~2세) > 바디수트 > 코튼,https://www.uniqlo.com/kr/ko/baby/newborn,BABY,BABY,True,https://www.uniqlo.com/kr/ko/products/E450071-000/00,live_public_response
uniqlo,E450071,E450071-000,000,신생아(0개월~2세) > 바디수트 > 코튼,https://www.uniqlo.com/kr/ko/baby/newborn/bodysuits,BABY,BABY,True,https://www.uniqlo.com/kr/ko/products/E450071-000/00,live_public_response
uniqlo,E441897,E441897-000,000,이너웨어 > 양말 > 레귤러 삭스,https://www.uniqlo.com/kr/ko/men/innerwear/socks,MEN,MEN,True,https://www.uniqlo.com/kr/ko/products/E441897-000/00,live_public_response
uniqlo,E450260,E450260-000,000,셔츠 > 캐주얼셔츠 > 브로드 클로스(코튼100%),https://www.uniqlo.com/kr/ko/men/shirts-and-polo-shirts,MEN,MEN,True,https://www.uniqlo.com/kr/ko/products/E450260-000/00,live_public_response
uniqlo,E450260,E450260-000,000,셔츠 > 캐주얼셔츠 > 브로드 클로스(코튼100%),https://www.uniqlo.com/kr/ko/men/shirts-and-polo-shirts/casual-shirts,MEN,MEN,True,https://www.uniqlo.com/kr/ko/products/E450260-000/00,live_public_response
uniqlo,E450260,E450260-000,000,셔츠 > 캐주얼셔츠 > 브로드 클로스(코튼100%),https://www.uniqlo.com/kr/ko/women/shirts-and-blouses/shirts-and-blouses,WOMEN,MEN,True,https://www.uniqlo.com/kr/ko/products/E450260-000/00,live_public_response
