style_reference,product_name,section,family_name,subfamily_name,fitmatch_major_candidate,product_url,review_status,human_category,human_detail,reviewer_notes,gold_approved,source_product_id,product_code,source_category_paths,observed_at,retailer_code,source_category_codes,source_category_leaf,product_structure,gender,archive_product_url,official_listed,sale_evidence
06045495,BAGGY FIT JEANS,MAN,TROUSERS,B. Pants Denim,BOTTOM,https://www.zara.com/kr/ko/baggy-fit-jeans-p06045495.html,PENDING_HUMAN_REVIEW,,,,false,ZARA_KR_MAN_06045495,6045/495,"[""남성 > 컬렉션 > 데님팬츠 > 모두 보기"",""남성 > 컬렉션 > 베스트셀러 > 모두 보기""]",2026-08-24T22:40:58.274Z,ZARA,"[""2432131""]",모두 보기,STANDARD_PRODUCT,MALE,https://www.zara.com/kr/ko/baggy-fit-jeans-p06045495.html,true,OFFICIAL_ZARA_KR_PRODUCT_SITEMAP
03897123,크로스 파레오 팬츠,WOMAN,SKIRT,B.SKIRT,BOTTOM,https://www.zara.com/kr/ko/%E1%84%8F%E1%85%B3%E1%84%85%E1%85%A9%E1%84%89%E1%85%B3-%E1%84%91%E1%85%A1%E1%84%85%E1%85%A6%E1%84%8B%E1%85%A9-%E1%84%91%E1%85%A2%E1%86%AB%E1%84%8E%E1%85%B3-p03897123.html,PENDING_HUMAN_REVIEW,,,,false,ZARA_KR_WOMAN_03897123,3897/123,"[""여성 > 컬렉션 > 토탈 룩 > 모두 보기"",""여성 > 컬렉션 > 팬츠 > 모두 보기""]",2026-08-24T22:40:58.274Z,ZARA,"[""2420795""]",모두 보기,STANDARD_PRODUCT,FEMALE,https://www.zara.com/kr/ko/%E1%84%8F%E1%85%B3%E1%84%85%E1%85%A9%E1%84%89%E1%85%B3-%E1%84%91%E1%85%A1%E1%84%85%E1%85%A6%E1%84%8B%E1%85%A9-%E1%84%91%E1%85%A2%E1%86%AB%E1%84%8E%E1%85%B3-p03897123.html,true,OFFICIAL_ZARA_KR_PRODUCT_SITEMAP
04786703,링클 페이크 스트랩 원피스,WOMAN,DRESS,VESTIDO,DRESS,https://www.zara.com/kr/ko/%E1%84%85%E1%85%B5%E1%86%BC%E1%84%8F%E1%85%B3%E1%86%AF-%E1%84%8B%E1%85%B5%E1%84%91%E1%85%A6%E1%86%A8%E1%84%90%E1%85%B3-%E1%84%89%E1%85%B3%E1%84%90%E1%85%B3%E1%84%85%E1%85%A2%E1%86%B8-%E1%84%8B%E1%85%AF%E1%86%AB%E1%84%91%E1%85%B5%E1%84%89%E1%85%B3-p04786703.html,PENDING_HUMAN_REVIEW,,,,false,ZARA_KR_WOMAN_04786703,4786/703,"[""여성 > 컬렉션 > 란제리 > 모두 보기"",""여성 > 컬렉션 > 원피스 > 모두 보기""]",2026-08-24T22:40:58.274Z,ZARA,"[""2420896""]",모두 보기,STANDARD_PRODUCT,FEMALE,https://www.zara.com/kr/ko/%E1%84%85%E1%85%B5%E1%86%BC%E1%84%8F%E1%85%B3%E1%86%AF-%E1%84%8B%E1%85%B5%E1%84%91%E1%85%A6%E1%86%A8%E1%84%90%E1%85%B3-%E1%84%89%E1%85%B3%E1%84%90%E1%85%B3%E1%84%85%E1%85%A2%E1%86%B8-%E1%84%8B%E1%85%AF%E1%86%AB%E1%84%91%E1%85%B5%E1%84%89%E1%85%B3-p04786703.html,true,OFFICIAL_ZARA_KR_PRODUCT_SITEMAP
04302500,경량 워터 프루프 패딩 베스트,MAN,WAISTCOAT,Vest,OUTER,https://www.zara.com/kr/ko/%E1%84%80%E1%85%A7%E1%86%BC%E1%84%85%E1%85%A3%E1%86%BC-%E1%84%8B%E1%85%AF%E1%84%90%E1%85%A5-%E1%84%91%E1%85%B3%E1%84%85%E1%85%AE%E1%84%91%E1%85%B3-%E1%84%91%E1%85%A2%E1%84%83%E1%85%B5%E1%86%BC-%E1%84%87%E1%85%A6%E1%84%89%E1%85%B3%E1%84%90%E1%85%B3-p04302500.html,PENDING_HUMAN_REVIEW,,,,false,ZARA_KR_MAN_04302500,4302/500,"[""남성 > 컬렉션 > 재킷 | 트렌치 코트 > 모두 보기""]",2026-08-24T22:40:58.274Z,ZARA,"[""2536906""]",모두 보기,STANDARD_PRODUCT,MALE,https://www.zara.com/kr/ko/%E1%84%80%E1%85%A7%E1%86%BC%E1%84%85%E1%85%A3%E1%86%BC-%E1%84%8B%E1%85%AF%E1%84%90%E1%85%A5-%E1%84%91%E1%85%B3%E1%84%85%E1%85%AE%E1%84%91%E1%85%B3-%E1%84%91%E1%85%A2%E1%84%83%E1%85%B5%E1%86%BC-%E1%84%87%E1%85%A6%E1%84%89%E1%85%B3%E1%84%90%E1%85%B3-p04302500.html,true,OFFICIAL_ZARA_KR_PRODUCT_SITEMAP
04391853,페이크 레더 봄버 재킷,WOMAN,WIND-JACKET,T.SHORT-OUTWEAR,OUTER,https://www.zara.com/kr/ko/%E1%84%91%E1%85%A6%E1%84%8B%E1%85%B5%E1%84%8F%E1%85%B3-%E1%84%85%E1%85%A6%E1%84%83%E1%85%A5-%E1%84%87%E1%85%A9%E1%86%B7%E1%84%87%E1%85%A5-%E1%84%8C%E1%85%A2%E1%84%8F%E1%85%B5%E1%86%BA-p04391853.html,PENDING_HUMAN_REVIEW,,,,false,ZARA_KR_WOMAN_04391853,4391/853,"[""여성 > 컬렉션 > 자켓 | 점퍼 > 모두 보기""]",2026-08-24T22:40:58.274Z,ZARA,"[""2417772""]",모두 보기,STANDARD_PRODUCT,FEMALE,https://www.zara.com/kr/ko/%E1%84%91%E1%85%A6%E1%84%8B%E1%85%B5%E1%84%8F%E1%85%B3-%E1%84%85%E1%85%A6%E1%84%83%E1%85%A5-%E1%84%87%E1%85%A9%E1%86%B7%E1%84%87%E1%85%A5-%E1%84%8C%E1%85%A2%E1%84%8F%E1%85%B5%E1%86%BA-p04391853.html,true,OFFICIAL_ZARA_KR_PRODUCT_SITEMAP
05107250,ZW 컬렉션 자수 레이스 셔츠,WOMAN,SHIRT,W.SHIRT,SET_OR_MULTI_PIECE,https://www.zara.com/kr/ko/zw-%E1%84%8F%E1%85%A5%E1%86%AF%E1%84%85%E1%85%A6%E1%86%A8%E1%84%89%E1%85%A7%E1%86%AB-%E1%84%8C%E1%85%A1%E1%84%89%E1%85%AE-%E1%84%85%E1%85%A6%E1%84%8B%E1%85%B5%E1%84%89%E1%85%B3-%E1%84%89%E1%85%A7%E1%84%8E%E1%85%B3-p05107250.html,PENDING_HUMAN_REVIEW,,,,false,ZARA_KR_WOMAN_05107250,5107/250,"[""여성 > 컬렉션 > 토탈 룩 > 모두 보기""]",2026-08-24T22:40:58.274Z,ZARA,"[""2420285""]",모두 보기,STANDARD_PRODUCT,FEMALE,https://www.zara.com/kr/ko/zw-%E1%84%8F%E1%85%A5%E1%86%AF%E1%84%85%E1%85%A6%E1%86%A8%E1%84%89%E1%85%A7%E1%86%AB-%E1%84%8C%E1%85%A1%E1%84%89%E1%85%AE-%E1%84%85%E1%85%A6%E1%84%8B%E1%85%B5%E1%84%89%E1%85%B3-%E1%84%89%E1%85%A7%E1%84%8E%E1%85%B3-p05107250.html,true,OFFICIAL_ZARA_KR_PRODUCT_SITEMAP
02507246,ZW 컬렉션 벨트 미디 스커트,WOMAN,SKIRT,W.SKIRT,SKIRT,https://www.zara.com/kr/ko/zw-%E1%84%8F%E1%85%A5%E1%86%AF%E1%84%85%E1%85%A6%E1%86%A8%E1%84%89%E1%85%A7%E1%86%AB-%E1%84%87%E1%85%A6%E1%86%AF%E1%84%90%E1%85%B3-%E1%84%86%E1%85%B5%E1%84%83%E1%85%B5-%E1%84%89%E1%85%B3%E1%84%8F%E1%85%A5%E1%84%90%E1%85%B3-p02507246.html,PENDING_HUMAN_REVIEW,,,,false,ZARA_KR_WOMAN_02507246,2507/246,"[""여성 > 신상품 > THE NEW"",""여성 > 컬렉션 > 스커트 > 모두 보기""]",2026-08-24T22:40:58.274Z,ZARA,"[""2420454""]",THE NEW,STANDARD_PRODUCT,FEMALE,https://www.zara.com/kr/ko/zw-%E1%84%8F%E1%85%A5%E1%86%AF%E1%84%85%E1%85%A6%E1%86%A8%E1%84%89%E1%85%A7%E1%86%AB-%E1%84%87%E1%85%A6%E1%86%AF%E1%84%90%E1%85%B3-%E1%84%86%E1%85%B5%E1%84%83%E1%85%B5-%E1%84%89%E1%85%B3%E1%84%8F%E1%85%A5%E1%84%90%E1%85%B3-p02507246.html,true,OFFICIAL_ZARA_KR_PRODUCT_SITEMAP
00495325,슬립 스윔팬츠,MAN,SWIMSUIT,Swimwear,SWIMWEAR,https://www.zara.com/kr/ko/%E1%84%8F%E1%85%A5%E1%86%AF%E1%84%85%E1%85%A5-%E1%84%87%E1%85%B3%E1%86%AF%E1%84%85%E1%85%A9%E1%86%A8-%E1%84%89%E1%85%B3%E1%86%AF%E1%84%85%E1%85%B5%E1%86%B8-%E1%84%89%E1%85%B3%E1%84%8B%E1%85%B1%E1%86%B7%E1%84%89%E1%85%AE%E1%84%90%E1%85%B3-p00495325.html,PENDING_HUMAN_REVIEW,,,,false,ZARA_KR_MAN_00495325,0495/325,"[""남성 > 슈즈 | 액세서리 > 스윔웨어 > 모두 보기""]",2026-08-24T22:40:58.274Z,ZARA,"[""2576034""]",모두 보기,STANDARD_PRODUCT,MALE,https://www.zara.com/kr/ko/%E1%84%8F%E1%85%A5%E1%86%AF%E1%84%85%E1%85%A5-%E1%84%87%E1%85%B3%E1%86%AF%E1%84%85%E1%85%A9%E1%86%A8-%E1%84%89%E1%85%B3%E1%86%AF%E1%84%85%E1%85%B5%E1%86%B8-%E1%84%89%E1%85%B3%E1%84%8B%E1%85%B1%E1%86%B7%E1%84%89%E1%85%AE%E1%84%90%E1%85%B3-p00495325.html,true,OFFICIAL_ZARA_KR_PRODUCT_SITEMAP
02910217,애니멀 프린트 스윔수트,WOMAN,SWIMSUIT,SWIMSUIT BIKINI,SWIMWEAR,https://www.zara.com/kr/ko/%E1%84%8B%E1%85%A2%E1%84%82%E1%85%B5%E1%84%86%E1%85%A5%E1%86%AF-%E1%84%91%E1%85%B3%E1%84%85%E1%85%B5%E1%86%AB%E1%84%90%E1%85%B3-%E1%84%89%E1%85%B3%E1%84%8B%E1%85%B1%E1%86%B7%E1%84%89%E1%85%AE%E1%84%90%E1%85%B3-p02910217.html,PENDING_HUMAN_REVIEW,,,,false,ZARA_KR_WOMAN_02910217,2910/217,"[""여성 > 컬렉션 > 스윔웨어 > 모두 보기""]",2026-08-24T22:40:58.274Z,ZARA,"[""2418954""]",모두 보기,STANDARD_PRODUCT,FEMALE,https://www.zara.com/kr/ko/%E1%84%8B%E1%85%A2%E1%84%82%E1%85%B5%E1%84%86%E1%85%A5%E1%86%AF-%E1%84%91%E1%85%B3%E1%84%85%E1%85%B5%E1%86%AB%E1%84%90%E1%85%B3-%E1%84%89%E1%85%B3%E1%84%8B%E1%85%B1%E1%86%B7%E1%84%89%E1%85%AE%E1%84%90%E1%85%B3-p02910217.html,true,OFFICIAL_ZARA_KR_PRODUCT_SITEMAP
06085300,체크 텍스트 프린트 릴렉스핏 셔츠,MAN,SHIRT,F. Shirt,TOP,https://www.zara.com/kr/ko/%E1%84%8E%E1%85%A6%E1%84%8F%E1%85%B3-%E1%84%90%E1%85%A6%E1%86%A8%E1%84%89%E1%85%B3%E1%84%90%E1%85%B3-%E1%84%91%E1%85%B3%E1%84%85%E1%85%B5%E1%86%AB%E1%84%90%E1%85%B3-%E1%84%85%E1%85%B5%E1%86%AF%E1%84%85%E1%85%A6%E1%86%A8%E1%84%89%E1%85%B3%E1%84%91%E1%85%B5%E1%86%BA-%E1%84%89%E1%85%A7%E1%84%8E%E1%85%B3-p06085300.html,PENDING_HUMAN_REVIEW,,,,false,ZARA_KR_MAN_06085300,6085/300,"[""남성 > 컬렉션 > 셔츠 > 모두 보기""]",2026-08-24T22:40:58.274Z,ZARA,"[""2431994""]",모두 보기,STANDARD_PRODUCT,MALE,https://www.zara.com/kr/ko/%E1%84%8E%E1%85%A6%E1%84%8F%E1%85%B3-%E1%84%90%E1%85%A6%E1%86%A8%E1%84%89%E1%85%B3%E1%84%90%E1%85%B3-%E1%84%91%E1%85%B3%E1%84%85%E1%85%B5%E1%86%AB%E1%84%90%E1%85%B3-%E1%84%85%E1%85%B5%E1%86%AF%E1%84%85%E1%85%A6%E1%86%A8%E1%84%89%E1%85%B3%E1%84%91%E1%85%B5%E1%86%BA-%E1%84%89%E1%85%A7%E1%84%8E%E1%85%B3-p06085300.html,true,OFFICIAL_ZARA_KR_PRODUCT_SITEMAP
07850217,SLVLSS FLWRS SHRT,WOMAN,SHIRT,ST. CAMISA,TOP,https://www.zara.com/kr/ko/slvlss-flwrs-shrt-p07850217.html,PENDING_HUMAN_REVIEW,,,,false,ZARA_KR_WOMAN_07850217,7850/217,"[""여성 > 컬렉션 > 셔츠 > 모두 보기""]",2026-08-24T22:40:58.274Z,ZARA,"[""2420369""]",모두 보기,STANDARD_PRODUCT,FEMALE,https://www.zara.com/kr/ko/slvlss-flwrs-shrt-p07850217.html,true,OFFICIAL_ZARA_KR_PRODUCT_SITEMAP
