사례 유형,쇼핑몰,상품 ID 또는 코드,상품 URL,원본 카테고리,선정 근거,사용 주의,supplemental_case
품절 사례,무신사,6518709,https://www.musinsa.com/products/6518709,바지 / 기타 하의,"",공개 응답 재현용; 앱 파서 미실행,아니오
actual-size null 사례,무신사,6729879,https://www.musinsa.com/products/6729879,바지 / 트레이닝/조거 팬츠,actual-size data null,공개 응답 재현용; 앱 파서 미실행,아니오
품절 사례,무신사,6729526,https://www.musinsa.com/products/6729526,스포츠/레저 / 하의 / 기타 바지,"",공개 응답 재현용; 앱 파서 미실행,아니오
품절 사례,유니클로,E465755-000,https://www.uniqlo.com/kr/ko/products/E465755-000,/kr/ko/women/tops/t-shirts,"",공개 응답 재현용; 앱 파서 미실행,아니오
카테고리 판별 어려움,유니클로,E465755-000,https://www.uniqlo.com/kr/ko/products/E465755-000,/kr/ko/women/tops/t-shirts,"",공개 응답 재현용; 앱 파서 미실행,아니오
카테고리 판별 어려움,유니클로,E480054-000,https://www.uniqlo.com/kr/ko/products/E480054-000,/kr/ko/women/tops/t-shirts,"",공개 응답 재현용; 앱 파서 미실행,아니오
카테고리 판별 어려움,유니클로,E424873-000,https://www.uniqlo.com/kr/ko/products/E424873-000,/kr/ko/women/tops/t-shirts,"",공개 응답 재현용; 앱 파서 미실행,아니오
카테고리 판별 어려움,유니클로,E488087-000,https://www.uniqlo.com/kr/ko/products/E488087-000,/kr/ko/women/tops/t-shirts,"",공개 응답 재현용; 앱 파서 미실행,아니오
카테고리 판별 어려움,유니클로,E483268-000,https://www.uniqlo.com/kr/ko/products/E483268-000,/kr/ko/women/tops/t-shirts,"",공개 응답 재현용; 앱 파서 미실행,아니오
카테고리 판별 어려움,유니클로,E484418-001,https://www.uniqlo.com/kr/ko/products/E484418-001,/kr/ko/women/tops/t-shirts,"",공개 응답 재현용; 앱 파서 미실행,아니오
카테고리 판별 어려움,유니클로,E484421-000,https://www.uniqlo.com/kr/ko/products/E484421-000,/kr/ko/women/tops/t-shirts,"",공개 응답 재현용; 앱 파서 미실행,아니오
카테고리 판별 어려움,유니클로,E484418-000,https://www.uniqlo.com/kr/ko/products/E484418-000,/kr/ko/women/tops/t-shirts,"",공개 응답 재현용; 앱 파서 미실행,아니오
카테고리 판별 어려움,유니클로,E465760-000,https://www.uniqlo.com/kr/ko/products/E465760-000,/kr/ko/women/tops/t-shirts,"",공개 응답 재현용; 앱 파서 미실행,아니오
카테고리 판별 어려움,유니클로,E485025-000,https://www.uniqlo.com/kr/ko/products/E485025-000,/kr/ko/women/tops/t-shirts,"",공개 응답 재현용; 앱 파서 미실행,아니오
유니클로 색상 포함 상품 코드 사례,유니클로,E484418-001,https://www.uniqlo.com/kr/ko/products/E484418-001,/kr/ko/women/tops/t-shirts,기본 상품 코드 뒤에 3자리 색상 코드가 포함됨,색상별 치수표 차이는 확인 불가; 기존 300개 표본 내 사례,아니오
유니클로 색상 포함 상품 코드 사례,유니클로,E488088-001,https://www.uniqlo.com/kr/ko/products/E488088-001,/kr/ko/women/tops/t-shirts,기본 상품 코드 뒤에 3자리 색상 코드가 포함됨,색상별 치수표 차이는 확인 불가; 기존 300개 표본 내 사례,아니오
유니클로 색상 포함 상품 코드 사례,유니클로,E469292-001,https://www.uniqlo.com/kr/ko/products/E469292-001,/kr/ko/men/outerwear,기본 상품 코드 뒤에 3자리 색상 코드가 포함됨,색상별 치수표 차이는 확인 불가; 기존 300개 표본 내 사례,아니오
유니클로 색상 포함 상품 코드 사례,유니클로,E444557-001,https://www.uniqlo.com/kr/ko/products/E444557-001,/kr/ko/men/outerwear,기본 상품 코드 뒤에 3자리 색상 코드가 포함됨,색상별 치수표 차이는 확인 불가; 기존 300개 표본 내 사례,아니오
유니클로 색상 포함 상품 코드 사례,유니클로,E488216-001,https://www.uniqlo.com/kr/ko/products/E488216-001,/kr/ko/women/dress-and-skirts,기본 상품 코드 뒤에 3자리 색상 코드가 포함됨,색상별 치수표 차이는 확인 불가; 기존 300개 표본 내 사례,아니오
유니클로 색상 포함 상품 코드 사례,유니클로,E465755-000,https://www.uniqlo.com/kr/ko/products/E465755-000,/kr/ko/women/tops/t-shirts,기본 상품 코드 뒤에 3자리 색상 코드가 포함됨,색상별 치수표 차이는 확인 불가; 기존 300개 표본 내 사례,아니오
유니클로 색상 포함 상품 코드 사례,유니클로,E480054-000,https://www.uniqlo.com/kr/ko/products/E480054-000,/kr/ko/women/tops/t-shirts,기본 상품 코드 뒤에 3자리 색상 코드가 포함됨,색상별 치수표 차이는 확인 불가; 기존 300개 표본 내 사례,아니오
유니클로 색상 포함 상품 코드 사례,유니클로,E424873-000,https://www.uniqlo.com/kr/ko/products/E424873-000,/kr/ko/women/tops/t-shirts,기본 상품 코드 뒤에 3자리 색상 코드가 포함됨,색상별 치수표 차이는 확인 불가; 기존 300개 표본 내 사례,아니오
유니클로 색상 포함 상품 코드 사례,유니클로,E488087-000,https://www.uniqlo.com/kr/ko/products/E488087-000,/kr/ko/women/tops/t-shirts,기본 상품 코드 뒤에 3자리 색상 코드가 포함됨,색상별 치수표 차이는 확인 불가; 기존 300개 표본 내 사례,아니오
유니클로 색상 포함 상품 코드 사례,유니클로,E483268-000,https://www.uniqlo.com/kr/ko/products/E483268-000,/kr/ko/women/tops/t-shirts,기본 상품 코드 뒤에 3자리 색상 코드가 포함됨,색상별 치수표 차이는 확인 불가; 기존 300개 표본 내 사례,아니오
